YearStart,LocationDesc,Question,Number
2019,Colorado,Chronic liver disease,8.2
2012,Hawaii,Chronic liver disease,
2018,New Mexico,Chronic liver disease,18.9
2011,Kansas,Chronic liver disease,4.8
2016,Hawaii,Chronic liver disease,3.5
2011,New Hampshire,Chronic liver disease,
2015,Minnesota,Chronic liver disease,8.1
2015,Alabama,Chronic liver disease,
2019,Idaho,Chronic liver disease,15.4
2018,Mississippi,Chronic liver disease,14.9
2013,Louisiana,Chronic liver disease,8.8
2013,New Mexico,Chronic liver disease,14.5
2010,California,Chronic liver disease,28.2
2013,Minnesota,Chronic liver disease,5.2
2012,Montana,Chronic liver disease,9.3
2018,Florida,Chronic liver disease,15.5
2018,Colorado,Chronic liver disease,13.2
2011,Missouri,Chronic liver disease,
2020,Connecticut,Chronic liver disease,5.0
2016,Oklahoma,Chronic liver disease,9.8
2013,New Hampshire,Chronic liver disease,5.9
2018,Colorado,Chronic liver disease,25.2
2019,Maine,Chronic liver disease,
2018,Minnesota,Chronic liver disease,9.7
2020,District of Columbia,Chronic liver disease,
2012,Kentucky,Chronic liver disease,10.8
2016,Arizona,Chronic liver disease,82.7
2015,Alaska,Chronic liver disease,
2010,Minnesota,Chronic liver disease,5.1
2017,Arkansas,Chronic liver disease,6.5
2016,New Jersey,Chronic liver disease,8.2
2016,Illinois,Chronic liver disease,7.8
2016,Colorado,Chronic liver disease,9.1
2014,Kansas,Chronic liver disease,8.9
2012,Delaware,Chronic liver disease,7.0
2016,Indiana,Chronic liver disease,12.0
2018,Minnesota,Chronic liver disease,9.9
2010,Nevada,Chronic liver disease,7.6
2016,New Hampshire,Chronic liver disease,
2012,Iowa,Chronic liver disease,
2011,North Dakota,Chronic liver disease,
2019,Alaska,Chronic liver disease,
2016,Kentucky,Chronic liver disease,11.9
2013,Oklahoma,Chronic liver disease,15.3
2010,Louisiana,Chronic liver disease,7.9
2017,California,Chronic liver disease,16.3
2011,Florida,Chronic liver disease,4.7
2013,Maryland,Chronic liver disease,
2013,Massachusetts,Chronic liver disease,
2019,Minnesota,Chronic liver disease,
2010,Alabama,Chronic liver disease,
2012,Louisiana,Chronic liver disease,
2017,Delaware,Chronic liver disease,10.3
2016,Florida,Chronic liver disease,4.8
2017,Oklahoma,Chronic liver disease,15.0
2018,New York,Chronic liver disease,4.3
2018,Ohio,Chronic liver disease,14.3
2010,Maine,Chronic liver disease,10.4
2020,Montana,Chronic liver disease,21.3
2019,New York,Chronic liver disease,25.6
2016,New York,Chronic liver disease,7.6
2011,North Dakota,Chronic liver disease,11.4
2016,District of Columbia,Chronic liver disease,
2019,Arizona,Chronic liver disease,15.3
2020,Oklahoma,Chronic liver disease,12.3
2016,Nebraska,Chronic liver disease,
2014,Indiana,Chronic liver disease,10.0
2020,Nevada,Chronic liver disease,15.2
2016,Alabama,Chronic liver disease,17.1
2018,Arizona,Chronic liver disease,15.5
2011,New Hampshire,Chronic liver disease,9.3
2016,Idaho,Chronic liver disease,
2012,Alaska,Chronic liver disease,12.6
2013,Florida,Chronic liver disease,7.1
2016,Massachusetts,Chronic liver disease,8.8
2019,Ohio,Chronic liver disease,11.5
2017,Louisiana,Chronic liver disease,11.4
2011,Delaware,Chronic liver disease,
2020,Oregon,Chronic liver disease,20.1
2010,Mississippi,Chronic liver disease,5.9
2015,Nebraska,Chronic liver disease,
2016,Minnesota,Chronic liver disease,51.0
2014,Montana,Chronic liver disease,
2012,Colorado,Chronic liver disease,11.7
2016,Louisiana,Chronic liver disease,
2018,Indiana,Chronic liver disease,9.3
2019,Delaware,Chronic liver disease,
2012,Montana,Chronic liver disease,
2012,Indiana,Chronic liver disease,10.3
2018,North Dakota,Chronic liver disease,81.2
2017,New York,Chronic liver disease,7.1
2010,Georgia,Chronic liver disease,7.5
2015,Idaho,Chronic liver disease,
2010,Arkansas,Chronic liver disease,13.5
2018,North Carolina,Chronic liver disease,7.2
2016,New Mexico,Chronic liver disease,
2020,New York,Chronic liver disease,5.0
2010,Missouri,Chronic liver disease,
2010,Colorado,Chronic liver disease,14.6
2018,Hawaii,Chronic liver disease,
2010,Massachusetts,Chronic liver disease,10.0
2011,Massachusetts,Chronic liver disease,
2012,New Mexico,Chronic liver disease,19.3
2014,Minnesota,Chronic liver disease,
2020,Michigan,Chronic liver disease,35.5
2018,Louisiana,Chronic liver disease,
2014,Alabama,Chronic liver disease,
2020,Mississippi,Chronic liver disease,21.4
2017,Alaska,Chronic liver disease,10.8
2014,California,Chronic liver disease,17.0
2012,Louisiana,Chronic liver disease,11.8
2010,Nebraska,Chronic liver disease,
2019,New Jersey,Chronic liver disease,8.6
2016,Nebraska,Chronic liver disease,11.4
2016,Kansas,Chronic liver disease,
2020,North Dakota,Chronic liver disease,14.2
2013,Alabama,Chronic liver disease,6.9
2013,South Dakota,Chronic liver disease,16.1
2017,Texas,Chronic liver disease,
2011,Washington,Chronic liver disease,
2013,Texas,Chronic liver disease,7.9
2019,South Dakota,Chronic liver disease,10.2
2011,Texas,Chronic liver disease,18.5
2014,Tennessee,Chronic liver disease,
2019,South Carolina,Chronic liver disease,8.5
2017,Vermont,Chronic liver disease,10.0
2010,Utah,Chronic liver disease,
2016,Nevada,Per capita alcohol consumption,3.5
2014,Vermont,Chronic liver disease,5.6
2011,Tennessee,Chronic liver disease,
2014,New York,Per capita alcohol consumption,2.2
2014,Utah,Chronic liver disease,
2019,Wyoming,Chronic liver disease,21.0
2019,West Virginia,Chronic liver disease,11.0
2017,Tennessee,Chronic liver disease,
2019,Arizona,Per capita alcohol consumption,2.2
2018,Puerto Rico,Per capita alcohol consumption,
2013,South Carolina,Chronic liver disease,17.6
2017,Wyoming,Chronic liver disease,15.5
2018,Utah,Chronic liver disease,10.0
2010,Maryland,Per capita alcohol consumption,2.2
2019,Utah,Chronic liver disease,
2019,Pennsylvania,Chronic liver disease,
2018,Kentucky,Per capita alcohol consumption,2.0
2013,Pennsylvania,Chronic liver disease,
2019,Texas,Chronic liver disease,19.3
2019,Texas,Chronic liver disease,8.5
2019,West Virginia,Chronic liver disease,
2018,Rhode Island,Chronic liver disease,
2013,Rhode Island,Chronic liver disease,
2018,Oklahoma,Per capita alcohol consumption,1.9
2017,Virginia,Chronic liver disease,13.1
2014,Iowa,Per capita alcohol consumption,2.4
2015,Utah,Chronic liver disease,
2019,Oklahoma,Per capita alcohol consumption,1.8
2013,Washington,Chronic liver disease,12.2
2019,South Carolina,Chronic liver disease,
2011,Virginia,Chronic liver disease,7.3
2019,Virginia,Chronic liver disease,11.4
2014,Pennsylvania,Chronic liver disease,7.0
2018,Virginia,Chronic liver disease,9.3
2017,South Carolina,Chronic liver disease,14.4
2019,Tennessee,Chronic liver disease,
2018,Pennsylvania,Chronic liver disease,9.7
2020,Rhode Island,Chronic liver disease,8.7
2020,Tennessee,Chronic liver disease,11.4
2017,Texas,Chronic liver disease,13.6
2014,Washington,Per capita alcohol consumption,2.3
2019,Washington,Chronic liver disease,4.7
2019,Vermont,Chronic liver disease,
2019,Wisconsin,Chronic liver disease,
2017,Virginia,Chronic liver disease,
2019,Illinois,Per capita alcohol consumption,2.4
2013,Wisconsin,Chronic liver disease,9.1
2010,Florida,Per capita alcohol consumption,2.5
2017,South Dakota,Chronic liver disease,9.7
2014,Washington,Chronic liver disease,8.0
2013,West Virginia,Chronic liver disease,12.5
2010,West Virginia,Chronic liver disease,
2017,Washington,Chronic liver disease,32.2
2020,Alabama,Per capita alcohol consumption,2.08
2020,West Virginia,Chronic liver disease,
2011,Virginia,Chronic liver disease,9.1
2013,Vermont,Chronic liver disease,9.5
2015,Virginia,Chronic liver disease,
2020,Pennsylvania,Chronic liver disease,8.3
2015,United States,Chronic liver disease,10.8
2019,Virginia,Chronic liver disease,8.5
2014,Rhode Island,Chronic liver disease,
2014,South Carolina,Chronic liver disease,11.8
2014,District of Columbia,Per capita alcohol consumption,3.9
2019,Vermont,Chronic liver disease,
2017,Wisconsin,Chronic liver disease,
2020,Rhode Island,Chronic liver disease,15.9
2017,Pennsylvania,Chronic liver disease,8.4
2017,Wyoming,Chronic liver disease,
2016,Texas,Chronic liver disease,9.2
2020,Pennsylvania,Chronic liver disease,10.4
2013,Utah,Chronic liver disease,
2010,Tennessee,Chronic liver disease,6.6
2013,Texas,Chronic liver disease,11.7
2010,Wyoming,Chronic liver disease,
2018,Hawaii,Per capita alcohol consumption,2.7
2014,Rhode Island,Chronic liver disease,
2014,West Virginia,Chronic liver disease,
2016,Virginia,Per capita alcohol consumption,2.1
2010,Wisconsin,Chronic liver disease,
2015,Utah,Chronic liver disease,
2020,South Carolina,Chronic liver disease,11.5
2012,West Virginia,Chronic liver disease,
2015,Virginia,Chronic liver disease,10.5
2016,Wyoming,Chronic liver disease,10.0
2014,New Jersey,Per capita alcohol consumption,2.4
2010,South Carolina,Chronic liver disease,6.1
2016,New Jersey,Per capita alcohol consumption,2.3
2015,Pennsylvania,Chronic liver disease,6.6
2012,Wisconsin,Chronic liver disease,10.8
2014,Utah,Chronic liver disease,7.3
2019,Rhode Island,Chronic liver disease,
2014,Virginia,Chronic liver disease,6.4
2020,South Dakota,Chronic liver disease,13.5
2017,South Carolina,Chronic liver disease,10.3
2010,Washington,Chronic liver disease,9.3
2018,Rhode Island,Chronic liver disease,
2020,Montana,Per capita alcohol consumption,3.32
2016,Wyoming,Per capita alcohol consumption,2.7
2010,South Dakota,Chronic liver disease,8.2
2020,Texas,Chronic liver disease,9.7
2019,Pennsylvania,Per capita alcohol consumption,2.4
2012,Washington,Chronic liver disease,
2011,Wyoming,Chronic liver disease,17.4
2010,Texas,Chronic liver disease,7.6
2017,West Virginia,Chronic liver disease,
2014,South Dakota,Chronic liver disease,
2016,California,Per capita alcohol consumption,2.3
2020,Kentucky,Per capita alcohol consumption,2.12
2014,Wyoming,Chronic liver disease,
2020,Tennessee,Chronic liver disease,
2012,Virginia,Chronic liver disease,7.2
2012,Rhode Island,Chronic liver disease,15.6
2016,Massachusetts,Per capita alcohol consumption,2.6
2020,South Carolina,Chronic liver disease,17.4
2010,Texas,Chronic liver disease,10.5
2017,Texas,Chronic liver disease,7.2
2016,Tennessee,Chronic liver disease,8.1
2019,South Dakota,Per capita alcohol consumption,2.4
2015,South Carolina,Chronic liver disease,8.3
2016,Washington,Chronic liver disease,8.0
2011,South Dakota,Chronic liver disease,76.0
2016,West Virginia,Chronic liver disease,8.6
2016,Wyoming,Chronic liver disease,
2013,South Dakota,Chronic liver disease,6.6
2010,North Dakota,Per capita alcohol consumption,2.9
2010,Illinois,Per capita alcohol consumption,2.3
2020,Nebraska,Per capita alcohol consumption,2.17
2020,Wisconsin,Per capita alcohol consumption,3.11
2012,Washington,Chronic liver disease,11.4
2017,Tennessee,Chronic liver disease,6.5
2015,Washington,Chronic liver disease,10.2
2020,Delaware,Per capita alcohol consumption,4.01
2012,Vermont,Chronic liver disease,5.6
2010,United States,Chronic liver disease,9.4
2014,Texas,Chronic liver disease,20.2
2017,South Carolina,Chronic liver disease,
2015,Virginia,Chronic liver disease,8.6
2011,South Dakota,Chronic liver disease,
2019,Florida,Per capita alcohol consumption,2.7
2017,South Dakota,Chronic liver disease,112.4
2015,West Virginia,Chronic liver disease,14.2
2019,West Virginia,Per capita alcohol consumption,1.8
2020,United States,Per capita alcohol consumption,2.5
2010,Utah,Chronic liver disease,9.5
2011,Virginia,Chronic liver disease,
2020,Arkansas,Per capita alcohol consumption,1.92
2011,Rhode Island,Chronic liver disease,
2010,Vermont,Chronic liver disease,7.9
2011,South Carolina,Chronic liver disease,
2011,Texas,Chronic liver disease,8.4
2016,Rhode Island,Chronic liver disease,14.3
2011,Pennsylvania,Chronic liver disease,
2016,Tennessee,Chronic liver disease,16.9
2020,Utah,Chronic liver disease,
2019,Michigan,Per capita alcohol consumption,2.4
2010,Pennsylvania,Chronic liver disease,7.5
2020,Pennsylvania,Per capita alcohol consumption,2.32
2017,Wisconsin,Chronic liver disease,12.7
2020,Virginia,Chronic liver disease,8.8
2020,Utah,Chronic liver disease,12.3
2011,Pennsylvania,Chronic liver disease,10.8
2017,South Carolina,Chronic liver disease,18.3
2019,Tennessee,Chronic liver disease,13.7
2016,Utah,Chronic liver disease,8.5
2018,New Hampshire,Per capita alcohol consumption,4.7
2017,Pennsylvania,Chronic liver disease,
2010,Wisconsin,Chronic liver disease,
2011,Utah,Chronic liver disease,
2014,Vermont,Chronic liver disease,10.3
2014,West Virginia,Chronic liver disease,
2010,Pennsylvania,Per capita alcohol consumption,2.2
2012,Wisconsin,Chronic liver disease,8.1
2019,Connecticut,Per capita alcohol consumption,2.5
2020,Massachusetts,Per capita alcohol consumption,2.62
2014,West Virginia,Chronic liver disease,20.3
2010,Montana,Per capita alcohol consumption,2.9
2020,Texas,Chronic liver disease,15.8
2018,Tennessee,Chronic liver disease,
2014,Mississippi,Per capita alcohol consumption,2.2
2018,West Virginia,Chronic liver disease,
2010,New Mexico,Per capita alcohol consumption,2.3
2013,South Carolina,Chronic liver disease,9.9
2011,South Dakota,Chronic liver disease,8.4
2018,South Carolina,Chronic liver disease,12.4
2010,Colorado,Per capita alcohol consumption,2.7
2020,South Dakota,Chronic liver disease,
2018,West Virginia,Per capita alcohol consumption,1.7
2020,Wisconsin,Chronic liver disease,
2018,Idaho,Per capita alcohol consumption,2.9
2018,Tennessee,Chronic liver disease,13.5
2011,Vermont,Chronic liver disease,
2012,Wyoming,Chronic liver disease,16.4
2010,Virgin Islands,Per capita alcohol consumption,
2012,Washington,Chronic liver disease,11.1
2015,South Dakota,Chronic liver disease,13.1
2014,Virginia,Per capita alcohol consumption,2.1
2017,Pennsylvania,Chronic liver disease,10.2
2015,Texas,Chronic liver disease,9.3
2012,Tennessee,Chronic liver disease,15.1
2013,West Virginia,Chronic liver disease,12.7
2016,South Dakota,Chronic liver disease,106.6
2010,South Dakota,Per capita alcohol consumption,2.7
2018,Vermont,Chronic liver disease,
2017,Rhode Island,Chronic liver disease,13.8
2016,Pennsylvania,Chronic liver disease,
2020,Washington,Chronic liver disease,17.6
2010,South Dakota,Chronic liver disease,
2010,South Carolina,Chronic liver disease,10.8
2011,Wisconsin,Chronic liver disease,
2016,Georgia,Per capita alcohol consumption,1.9
2012,South Dakota,Chronic liver disease,89.3
2020,Virginia,Chronic liver disease,15.0
2016,Alabama,Per capita alcohol consumption,2.0
2017,Wyoming,Chronic liver disease,
2017,Wisconsin,Chronic liver disease,
2018,Nebraska,Per capita alcohol consumption,2.2
2010,Tennessee,Chronic liver disease,10.2
2013,Tennessee,Chronic liver disease,8.9
2016,Rhode Island,Chronic liver disease,
2020,Virginia,Chronic liver disease,11.8
2013,Wisconsin,Chronic liver disease,6.8
2011,Pennsylvania,Chronic liver disease,5.2
2014,Utah,Chronic liver disease,10.3
2018,Washington,Chronic liver disease,11.5
2012,Rhode Island,Chronic liver disease,
2018,Arkansas,Per capita alcohol consumption,1.8
2019,New Mexico,Per capita alcohol consumption,2.3
2018,United States,Per capita alcohol consumption,2.4
2010,Vermont,Chronic liver disease,
2014,South Carolina,Per capita alcohol consumption,2.3
2010,Rhode Island,Chronic liver disease,
2017,Rhode Island,Chronic liver disease,
2011,West Virginia,Chronic liver disease,16.6
2011,Rhode Island,Chronic liver disease,16.2
2012,Virginia,Chronic liver disease,10.0
2018,Minnesota,Per capita alcohol consumption,2.8
2010,Kansas,Per capita alcohol consumption,2.0
2014,Washington,Chronic liver disease,14.5
2012,Wyoming,Chronic liver disease,
2019,Utah,Chronic liver disease,6.1
2016,Texas,Chronic liver disease,19.7
2010,West Virginia,Chronic liver disease,
2018,Rhode Island,Chronic liver disease,
2014,Wyoming,Chronic liver disease,
2015,Texas,Chronic liver disease,20.6
2018,Guam,Per capita alcohol consumption,
2019,Wyoming,Chronic liver disease,14.6
2014,Wisconsin,Chronic liver disease,11.1
2013,Utah,Chronic liver disease,14.4
2014,Texas,Chronic liver disease,12.4
2020,Texas,Per capita alcohol consumption,2.41
2013,Wyoming,Chronic liver disease,11.3
2014,Wisconsin,Chronic liver disease,
2018,Wisconsin,Chronic liver disease,13.8
2020,Ohio,Per capita alcohol consumption,2.12
2014,Rhode Island,Chronic liver disease,
2018,West Virginia,Chronic liver disease,14.8
2013,Vermont,Chronic liver disease,
2018,Pennsylvania,Chronic liver disease,6.6
2010,Hawaii,Per capita alcohol consumption,2.5
2014,South Carolina,Chronic liver disease,8.0
2010,Arizona,Per capita alcohol consumption,2.4
2014,Rhode Island,Per capita alcohol consumption,2.4
2019,Guam,Per capita alcohol consumption,
2013,Pennsylvania,Chronic liver disease,8.1
2018,Utah,Chronic liver disease,
2019,Montana,Per capita alcohol consumption,3.2
2013,Virginia,Chronic liver disease,4.8
2014,Pennsylvania,Chronic liver disease,10.0
2015,South Dakota,Chronic liver disease,
2017,Vermont,Chronic liver disease,7.6
2011,South Carolina,Chronic liver disease,7.0
2014,Vermont,Chronic liver disease,
2010,Louisiana,Per capita alcohol consumption,2.5
2012,Virginia,Chronic liver disease,8.9
2014,Tennessee,Chronic liver disease,12.0
2019,Wisconsin,Per capita alcohol consumption,3.0
2015,Virginia,Chronic liver disease,
2018,Utah,Chronic liver disease,9.6
2015,Rhode Island,Chronic liver disease,
2010,Washington,Chronic liver disease,13.3
2019,Iowa,Per capita alcohol consumption,2.4
2010,Rhode Island,Chronic liver disease,
2016,Wisconsin,Chronic liver disease,
2016,Utah,Per capita alcohol consumption,1.3
2015,Vermont,Chronic liver disease,
2012,Pennsylvania,Chronic liver disease,
2013,South Carolina,Chronic liver disease,13.4
2013,South Dakota,Chronic liver disease,115.8
2018,Wyoming,Chronic liver disease,22.7
2020,South Dakota,Per capita alcohol consumption,2.34
2014,Texas,Chronic liver disease,13.5
2016,Delaware,Per capita alcohol consumption,3.7
2016,Oregon,Per capita alcohol consumption,2.8
2020,Virginia,Chronic liver disease,9.0
2010,Tennessee,Chronic liver disease,
2014,Washington,Chronic liver disease,14.8
2020,Utah,Chronic liver disease,13.8
2018,Vermont,Chronic liver disease,7.3
2018,West Virginia,Chronic liver disease,18.5
2020,Oklahoma,Per capita alcohol consumption,1.85
2010,Texas,Chronic liver disease,11.7
2015,Pennsylvania,Chronic liver disease,
2016,Wyoming,Chronic liver disease,
2014,Virginia,Chronic liver disease,
2014,Vermont,Per capita alcohol consumption,3.1
2015,Wisconsin,Chronic liver disease,
2013,Vermont,Chronic liver disease,
2010,Texas,Chronic liver disease,18.5
2017,South Dakota,Chronic liver disease,20.6
2019,Washington,Chronic liver disease,9.6
2013,Texas,Chronic liver disease,
2010,Wyoming,Chronic liver disease,
2015,Tennessee,Chronic liver disease,
2010,West Virginia,Chronic liver disease,15.0
2018,United States,Chronic liver disease,11.1
2014,Maine,Per capita alcohol consumption,2.7
2016,Kansas,Per capita alcohol consumption,1.9
2014,Missouri,Per capita alcohol consumption,2.4
2020,Wyoming,Chronic liver disease,290.7
2020,Vermont,Chronic liver disease,11.3
2014,Connecticut,Per capita alcohol consumption,2.4
2018,Wyoming,Chronic liver disease,
2012,Utah,Chronic liver disease,8.5
2018,Wisconsin,Chronic liver disease,11.9
2013,Virginia,Chronic liver disease,5.9
2014,Florida,Per capita alcohol consumption,2.6
2019,Wyoming,Chronic liver disease,
2011,Rhode Island,Chronic liver disease,
2010,Utah,Chronic liver disease,6.4
2018,West Virginia,Chronic liver disease,10.4
2014,Virginia,Chronic liver disease,9.8
2016,West Virginia,Chronic liver disease,
2014,Maryland,Per capita alcohol consumption,2.2
2010,Rhode Island,Chronic liver disease,14.2
2010,Wyoming,Chronic liver disease,13.6
2019,Pennsylvania,Chronic liver disease,6.4
2020,Pennsylvania,Chronic liver disease,8.7
2010,Delaware,Per capita alcohol consumption,3.1
2019,Alaska,Per capita alcohol consumption,2.9
2016,Rhode Island,Chronic liver disease,11.5
2019,Maine,Per capita alcohol consumption,2.9
2013,Wyoming,Chronic liver disease,17.1
2012,Washington,Chronic liver disease,
2020,Rhode Island,Chronic liver disease,
2019,Kentucky,Per capita alcohol consumption,2.0
2014,Texas,Chronic liver disease,8.8
2014,Tennessee,Per capita alcohol consumption,2.0
2015,South Carolina,Chronic liver disease,
2019,West Virginia,Chronic liver disease,
2012,Wyoming,Chronic liver disease,
2015,South Dakota,Chronic liver disease,102.5
2013,Pennsylvania,Chronic liver disease,
2019,Hawaii,Per capita alcohol consumption,2.7
2010,Nebraska,Per capita alcohol consumption,2.3
2010,Vermont,Chronic liver disease,
2013,Tennessee,Chronic liver disease,
2019,South Carolina,Chronic liver disease,8.7
2016,Virginia,Chronic liver disease,6.5
2010,Virginia,Chronic liver disease,8.5
2013,Utah,Chronic liver disease,
2016,Utah,Chronic liver disease,6.7
2012,Wisconsin,Chronic liver disease,
2018,Pennsylvania,Chronic liver disease,11.0
2020,South Carolina,Chronic liver disease,11.8
2010,Wisconsin,Per capita alcohol consumption,2.8
2015,Vermont,Chronic liver disease,8.6
2019,Washington,Chronic liver disease,14.6
2017,Virginia,Chronic liver disease,11.0
2020,Tennessee,Chronic liver disease,21.6
2015,Utah,Chronic liver disease,9.3
2019,Wisconsin,Chronic liver disease,15.5
2020,Indiana,Per capita alcohol consumption,2.34
2013,Wisconsin,Chronic liver disease,11.5
2010,Utah,Chronic liver disease,
2018,Wyoming,Chronic liver disease,
2020,South Dakota,Chronic liver disease,
2013,West Virginia,Chronic liver disease,17.4
2016,Oklahoma,Per capita alcohol consumption,1.9
2012,Rhode Island,Chronic liver disease,7.1
2019,United States,Per capita alcohol consumption,2.4
2012,Texas,Chronic liver disease,7.5
2010,Virginia,Chronic liver disease,7.1
2013,Utah,Chronic liver disease,7.1
2014,South Dakota,Chronic liver disease,15.1
2010,Washington,Chronic liver disease,
2019,South Carolina,Per capita alcohol consumption,2.1
2015,Washington,Chronic liver disease,12.4
2019,South Dakota,Chronic liver disease,18.1
2019,Minnesota,Per capita alcohol consumption,2.8
2016,South Dakota,Chronic liver disease,
2017,Texas,Chronic liver disease,13.9
2017,Washington,Chronic liver disease,9.6
2017,Tennessee,Chronic liver disease,12.8
2012,Tennessee,Chronic liver disease,8.3
2012,South Dakota,Chronic liver disease,13.4
2013,Rhode Island,Chronic liver disease,
2014,Tennessee,Chronic liver disease,7.8
2010,Pennsylvania,Chronic liver disease,10.4
2012,South Carolina,Chronic liver disease,7.1
2016,Pennsylvania,Chronic liver disease,
2013,West Virginia,Chronic liver disease,
2010,South Dakota,Chronic liver disease,12.2
2011,Utah,Chronic liver disease,10.6
2020,Mississippi,Per capita alcohol consumption,2.39
2012,Pennsylvania,Chronic liver disease,5.4
2020,Virginia,Per capita alcohol consumption,2.27
2018,Virgin Islands,Per capita alcohol consumption,
2016,Rhode Island,Chronic liver disease,
2018,West Virginia,Chronic liver disease,
2020,Rhode Island,Chronic liver disease,19.6
2020,Vermont,Chronic liver disease,11.3
2015,Virginia,Chronic liver disease,9.6
2011,West Virginia,Chronic liver disease,
2018,Wisconsin,Chronic liver disease,13.4
2020,Washington,Chronic liver disease,14.5
2011,Wyoming,Chronic liver disease,
2020,New York,Per capita alcohol consumption,2.22
2020,Wyoming,Chronic liver disease,27.3
2020,Georgia,Per capita alcohol consumption,1.91
2020,Oregon,Per capita alcohol consumption,2.71
2020,Wyoming,Per capita alcohol consumption,2.94
2019,Arkansas,Per capita alcohol consumption,1.8
2013,Wyoming,Chronic liver disease,
2013,Texas,Chronic liver disease,12.9
2013,Wyoming,Chronic liver disease,11.0
2014,South Dakota,Chronic liver disease,17.4
2012,Wyoming,Chronic liver disease,13.3
2019,West Virginia,Chronic liver disease,23.1
2011,Washington,Chronic liver disease,10.1
2019,Pennsylvania,Chronic liver disease,11.2
2011,South Dakota,Chronic liver disease,11.7
2013,Wisconsin,Chronic liver disease,
2018,Rhode Island,Chronic liver disease,17.7
2018,Utah,Chronic liver disease,12.6
2014,Montana,Per capita alcohol consumption,3.1
2013,Rhode Island,Chronic liver disease,
2013,South Carolina,Chronic liver disease,
2017,Wyoming,Chronic liver disease,13.3
2019,Texas,Chronic liver disease,3.6
2017,Vermont,Chronic liver disease,
2016,District of Columbia,Per capita alcohol consumption,3.9
2014,Virgin Islands,Per capita alcohol consumption,
2015,Wyoming,Chronic liver disease,20.4
2020,Kansas,Per capita alcohol consumption,2.12
2013,Pennsylvania,Chronic liver disease,9.1
2018,Massachusetts,Per capita alcohol consumption,2.6
2017,Wisconsin,Chronic liver disease,9.5
2012,Virginia,Chronic liver disease,5.5
2020,Virginia,Chronic liver disease,3.5
2020,Tennessee,Per capita alcohol consumption,2.3
2014,Minnesota,Per capita alcohol consumption,2.8
2012,Utah,Chronic liver disease,6.7
2017,Virginia,Chronic liver disease,8.1
2017,Utah,Chronic liver disease,8.4
2020,Utah,Chronic liver disease,
2011,South Carolina,Chronic liver disease,10.6
2011,Vermont,Chronic liver disease,9.1
2013,South Dakota,Chronic liver disease,
2010,Vermont,Chronic liver disease,7.4
2014,Illinois,Per capita alcohol consumption,2.3
2013,Tennessee,Chronic liver disease,11.6
2016,Iowa,Per capita alcohol consumption,2.4
2019,Rhode Island,Chronic liver disease,16.0
2015,Tennessee,Chronic liver disease,13.4
2019,South Dakota,Chronic liver disease,112.8
2019,South Carolina,Chronic liver disease,17.5
2013,West Virginia,Chronic liver disease,
2015,South Carolina,Chronic liver disease,13.7
2015,Tennessee,Chronic liver disease,8.4
2017,Vermont,Chronic liver disease,8.8
2016,Washington,Per capita alcohol consumption,2.3
2016,Texas,Per capita alcohol consumption,2.3
2016,New York,Per capita alcohol consumption,2.2
2010,New Jersey,Per capita alcohol consumption,2.4
2019,Virginia,Chronic liver disease,10.0
2019,Tennessee,Chronic liver disease,
2016,Michigan,Per capita alcohol consumption,2.3
2018,South Dakota,Chronic liver disease,22.4
2012,Texas,Chronic liver disease,11.8
2010,United States,Per capita alcohol consumption,2.3
2011,Texas,Chronic liver disease,3.7
2013,Vermont,Chronic liver disease,11.5
2011,Virginia,Chronic liver disease,8.3
2010,Arkansas,Per capita alcohol consumption,1.8
2019,Puerto Rico,Per capita alcohol consumption,
2018,South Carolina,Chronic liver disease,8.1
2016,South Carolina,Chronic liver disease,
2018,Wyoming,Per capita alcohol consumption,2.8
2019,Mississippi,Per capita alcohol consumption,2.2
2016,Tennessee,Chronic liver disease,13.8
2012,South Dakota,Chronic liver disease,7.7
2020,Vermont,Chronic liver disease,9.3
2019,Virginia,Chronic liver disease,3.4
2018,California,Per capita alcohol consumption,2.5
2015,Utah,Chronic liver disease,12.5
2013,Washington,Chronic liver disease,12.7
2018,Tennessee,Chronic liver disease,8.4
2019,Utah,Chronic liver disease,
2020,West Virginia,Chronic liver disease,
2019,Vermont,Chronic liver disease,9.3
2018,Texas,Chronic liver disease,9.1
2020,Wisconsin,Chronic liver disease,9.1
2017,Utah,Chronic liver disease,
2020,Texas,Chronic liver disease,3.8
2018,Vermont,Chronic liver disease,4.8
2011,Texas,Chronic liver disease,12.3
2020,Tennessee,Chronic liver disease,
2011,Tennessee,Chronic liver disease,10.6
2015,Rhode Island,Chronic liver disease,
2010,Wisconsin,Chronic liver disease,8.6
2016,Texas,Chronic liver disease,12.9
2020,Pennsylvania,Chronic liver disease,9.9
2011,Tennessee,Chronic liver disease,
2013,Washington,Chronic liver disease,16.9
2011,Utah,Chronic liver disease,7.5
2018,Rhode Island,Per capita alcohol consumption,2.6
2018,Texas,Chronic liver disease,19.2
2018,South Dakota,Chronic liver disease,17.3
2018,Georgia,Per capita alcohol consumption,1.9
2014,Rhode Island,Chronic liver disease,10.4
2012,Tennessee,Chronic liver disease,11.6
2018,North Dakota,Per capita alcohol consumption,3.2
2016,Pennsylvania,Chronic liver disease,10.9
2018,Virginia,Per capita alcohol consumption,2.1
2018,New Jersey,Per capita alcohol consumption,2.4
2012,South Carolina,Chronic liver disease,12.1
