YearStart,LocationDesc,Question,Rate,LocationID
2012,Missouri,Oral cavity and pharynx cancer,4.2,29
2010,Minnesota,Oral cavity and pharynx cancer,2.8,27
2008,Ohio,Oral cavity and pharynx cancer,,39
2011,Florida,Oral cavity and pharynx cancer,1.4,12
2008,Iowa,Oral cavity and pharynx cancer,,19
2010,Iowa,Oral cavity and pharynx cancer,1.1,19
2010,Washington,Oral cavity and pharynx cancer,,53
2011,Maryland,Oral cavity and pharynx cancer,1.3,24
2009,South Dakota,Oral cavity and pharynx cancer,2.1,46
2012,Washington,Oral cavity and pharynx cancer,0.9,53
2009,United States,Oral cavity and pharynx cancer,1.5,59
2013,Arkansas,Oral cavity and pharynx cancer,,5
2015,Massachusetts,Oral cavity and pharynx cancer,1.3,25
2012,Ohio,Oral cavity and pharynx cancer,2.7,39
2015,Alabama,Oral cavity and pharynx cancer,,1
2011,Alaska,Oral cavity and pharynx cancer,,2
2009,Massachusetts,Oral cavity and pharynx cancer,,25
2015,Michigan,Oral cavity and pharynx cancer,2.6,26
2013,United States,Oral cavity and pharynx cancer,1.3,59
2014,Virginia,Oral cavity and pharynx cancer,2.5,51
2008,Rhode Island,Oral cavity and pharynx cancer,1.1,44
2012,Illinois,Oral cavity and pharynx cancer,,17
2011,Mississippi,Oral cavity and pharynx cancer,3.6,28
2008,Virginia,Oral cavity and pharynx cancer,2.3,51
2010,Wisconsin,Oral cavity and pharynx cancer,,55
2014,District of Columbia,Oral cavity and pharynx cancer,3.3,11
2011,Montana,Oral cavity and pharynx cancer,,30
2010,Nevada,Oral cavity and pharynx cancer,3.6,32
2009,Florida,Oral cavity and pharynx cancer,2.5,12
2014,Washington,Oral cavity and pharynx cancer,2.8,53
2009,West Virginia,Oral cavity and pharynx cancer,2.8,54
2014,Michigan,Oral cavity and pharynx cancer,4.2,26
2012,Vermont,Oral cavity and pharynx cancer,,50
2012,Idaho,Oral cavity and pharynx cancer,2.2,16
2013,Minnesota,Oral cavity and pharynx cancer,3.5,27
2009,Nebraska,Oral cavity and pharynx cancer,,31
2009,New York,Oral cavity and pharynx cancer,3.4,36
2008,Mississippi,Oral cavity and pharynx cancer,6.1,28
2013,Connecticut,Oral cavity and pharynx cancer,1.0,9
2013,Rhode Island,Oral cavity and pharynx cancer,,44
2014,Nevada,Oral cavity and pharynx cancer,2.6,32
2008,Wisconsin,Oral cavity and pharynx cancer,,55
2012,Ohio,Oral cavity and pharynx cancer,4.2,39
2013,Indiana,Oral cavity and pharynx cancer,2.4,18
2014,North Carolina,Oral cavity and pharynx cancer,,37
2015,South Carolina,Oral cavity and pharynx cancer,1.5,45
2010,Connecticut,Oral cavity and pharynx cancer,1.8,9
2009,Wyoming,Oral cavity and pharynx cancer,2.3,56
2013,Texas,Oral cavity and pharynx cancer,2.5,48
2008,Maine,Oral cavity and pharynx cancer,,23
2012,Oklahoma,Oral cavity and pharynx cancer,,40
2014,Connecticut,Oral cavity and pharynx cancer,,9
2010,Michigan,Oral cavity and pharynx cancer,3.2,26
2010,Georgia,Oral cavity and pharynx cancer,2.7,13
2009,North Carolina,Oral cavity and pharynx cancer,,37
2015,West Virginia,Oral cavity and pharynx cancer,1.5,54
2010,Vermont,Oral cavity and pharynx cancer,,50
2012,Oregon,Oral cavity and pharynx cancer,2.8,41
2015,Virginia,Oral cavity and pharynx cancer,1.5,51
2014,Arizona,Oral cavity and pharynx cancer,1.0,4
2011,Georgia,Oral cavity and pharynx cancer,2.7,13
2011,Oklahoma,Oral cavity and pharynx cancer,3.0,40
2014,District of Columbia,Oral cavity and pharynx cancer,,11
2012,Mississippi,Oral cavity and pharynx cancer,6.0,28
2014,Illinois,Oral cavity and pharynx cancer,,17
2008,New Mexico,Oral cavity and pharynx cancer,,35
2010,Louisiana,Oral cavity and pharynx cancer,5.4,22
2008,Connecticut,Oral cavity and pharynx cancer,2.1,9
2008,Tennessee,Oral cavity and pharynx cancer,4.8,47
2011,Wyoming,Oral cavity and pharynx cancer,,56
2012,South Carolina,Oral cavity and pharynx cancer,,45
2015,Pennsylvania,Oral cavity and pharynx cancer,2.4,42
2008,North Dakota,Oral cavity and pharynx cancer,,38
2015,Kentucky,Oral cavity and pharynx cancer,,21
2011,Nebraska,Oral cavity and pharynx cancer,,31
2008,Utah,Oral cavity and pharynx cancer,2.0,49
2009,Rhode Island,Oral cavity and pharynx cancer,,44
2011,Wisconsin,Oral cavity and pharynx cancer,,55
2010,Kansas,Oral cavity and pharynx cancer,,20
2012,Maryland,Oral cavity and pharynx cancer,2.8,24
2009,Utah,Oral cavity and pharynx cancer,,49
2013,Montana,Oral cavity and pharynx cancer,,30
2015,Maryland,Oral cavity and pharynx cancer,2.6,24
2008,Louisiana,Oral cavity and pharynx cancer,,22
2015,Maryland,Oral cavity and pharynx cancer,1.9,24
2012,Alabama,Oral cavity and pharynx cancer,,1
2011,District of Columbia,Oral cavity and pharynx cancer,,11
2015,Rhode Island,Oral cavity and pharynx cancer,,44
2015,Maine,Oral cavity and pharynx cancer,,23
2013,California,Oral cavity and pharynx cancer,1.5,6
2013,Kentucky,Oral cavity and pharynx cancer,,21
2011,Colorado,Oral cavity and pharynx cancer,,8
2013,Mississippi,Oral cavity and pharynx cancer,3.2,28
2014,Colorado,Oral cavity and pharynx cancer,2.1,8
2013,Minnesota,Oral cavity and pharynx cancer,2.2,27
2009,Indiana,Oral cavity and pharynx cancer,,18
2013,Hawaii,Oral cavity and pharynx cancer,2.4,15
2015,Mississippi,Oral cavity and pharynx cancer,5.5,28
2013,Louisiana,Oral cavity and pharynx cancer,,22
2012,Rhode Island,Oral cavity and pharynx cancer,1.1,44
2013,Florida,Oral cavity and pharynx cancer,,12
2013,Washington,Oral cavity and pharynx cancer,1.0,53
2009,Oregon,Oral cavity and pharynx cancer,,41
2012,California,Oral cavity and pharynx cancer,2.9,6
2008,Idaho,Oral cavity and pharynx cancer,,16
2015,Pennsylvania,Oral cavity and pharynx cancer,,42
2013,North Dakota,Oral cavity and pharynx cancer,,38
2009,Georgia,Oral cavity and pharynx cancer,4.1,13
2011,Nevada,Oral cavity and pharynx cancer,2.9,32
2014,Oregon,Oral cavity and pharynx cancer,,41
2009,Pennsylvania,Oral cavity and pharynx cancer,1.2,42
2012,Kentucky,Oral cavity and pharynx cancer,,21
2013,Hawaii,Oral cavity and pharynx cancer,2.8,15
2009,Missouri,Oral cavity and pharynx cancer,3.8,29
2012,Wisconsin,Oral cavity and pharynx cancer,2.5,55
2014,New Hampshire,Oral cavity and pharynx cancer,,33
2008,Arizona,Oral cavity and pharynx cancer,2.2,4
2008,United States,Oral cavity and pharynx cancer,3.8,59
2010,Wisconsin,Oral cavity and pharynx cancer,2.4,55
2013,Ohio,Oral cavity and pharynx cancer,4.3,39
2008,Nevada,Oral cavity and pharynx cancer,1.5,32
2009,New Hampshire,Oral cavity and pharynx cancer,,33
2008,Nebraska,Oral cavity and pharynx cancer,1.6,31
2012,Connecticut,Oral cavity and pharynx cancer,0.9,9
2008,New Mexico,Oral cavity and pharynx cancer,2.6,35
2013,Vermont,Oral cavity and pharynx cancer,,50
2013,South Dakota,Oral cavity and pharynx cancer,,46
2013,South Carolina,Oral cavity and pharynx cancer,,45
2011,District of Columbia,Oral cavity and pharynx cancer,5.1,11
2011,Missouri,Oral cavity and pharynx cancer,,29
2015,Wyoming,Oral cavity and pharynx cancer,1.2,56
2008,Maine,Oral cavity and pharynx cancer,,23
2010,Colorado,Oral cavity and pharynx cancer,1.2,8
2008,Georgia,Oral cavity and pharynx cancer,2.5,13
2009,Vermont,Oral cavity and pharynx cancer,,50
2009,Hawaii,Oral cavity and pharynx cancer,3.8,15
2010,Rhode Island,Oral cavity and pharynx cancer,,44
2008,Hawaii,Oral cavity and pharynx cancer,,15
2012,Tennessee,Oral cavity and pharynx cancer,1.5,47
2015,Colorado,Oral cavity and pharynx cancer,2.1,8
2009,Tennessee,Oral cavity and pharynx cancer,3.3,47
2012,New Jersey,Oral cavity and pharynx cancer,2.6,34
2010,Washington,Oral cavity and pharynx cancer,,53
2014,South Dakota,Oral cavity and pharynx cancer,2.1,46
2010,North Dakota,Oral cavity and pharynx cancer,,38
2013,Wyoming,Oral cavity and pharynx cancer,2.2,56
2010,Wyoming,Oral cavity and pharynx cancer,1.2,56
2013,Alabama,Oral cavity and pharynx cancer,2.9,1
2014,North Carolina,Oral cavity and pharynx cancer,2.6,37
2015,North Carolina,Oral cavity and pharynx cancer,2.6,37
2015,Oregon,Oral cavity and pharynx cancer,2.5,41
2015,New Mexico,Oral cavity and pharynx cancer,,35
2014,Vermont,Oral cavity and pharynx cancer,3.9,50
2011,Arkansas,Oral cavity and pharynx cancer,1.7,5
2011,New Hampshire,Oral cavity and pharynx cancer,1.2,33
2012,South Carolina,Oral cavity and pharynx cancer,,45
2009,Nevada,Oral cavity and pharynx cancer,2.4,32
2009,Oklahoma,Oral cavity and pharynx cancer,4.1,40
2009,Colorado,Oral cavity and pharynx cancer,,8
2015,New Hampshire,Oral cavity and pharynx cancer,1.2,33
2014,Tennessee,Oral cavity and pharynx cancer,2.9,47
2009,Hawaii,Oral cavity and pharynx cancer,2.3,15
2011,Minnesota,Oral cavity and pharynx cancer,2.2,27
2008,Louisiana,Oral cavity and pharynx cancer,5.3,22
2008,Vermont,Oral cavity and pharynx cancer,,50
2014,Florida,Oral cavity and pharynx cancer,,12
2009,Hawaii,Oral cavity and pharynx cancer,2.5,15
2010,New Hampshire,Oral cavity and pharynx cancer,1.2,33
2009,Colorado,Oral cavity and pharynx cancer,2.0,8
2008,Idaho,Oral cavity and pharynx cancer,2.5,16
2012,Arizona,Oral cavity and pharynx cancer,2.3,4
2015,Iowa,Oral cavity and pharynx cancer,,19
2011,Minnesota,Oral cavity and pharynx cancer,1.3,27
2012,Missouri,Oral cavity and pharynx cancer,2.7,29
2008,Ohio,Oral cavity and pharynx cancer,3.9,39
2010,Arizona,Oral cavity and pharynx cancer,1.4,4
2008,South Dakota,Oral cavity and pharynx cancer,1.2,46
2011,Arkansas,Oral cavity and pharynx cancer,3.3,5
2013,Massachusetts,Oral cavity and pharynx cancer,,25
2009,Iowa,Oral cavity and pharynx cancer,,19
2014,Hawaii,Oral cavity and pharynx cancer,4.1,15
2008,Alaska,Oral cavity and pharynx cancer,,2
2009,Georgia,Oral cavity and pharynx cancer,,13
2012,Georgia,Oral cavity and pharynx cancer,2.9,13
2014,Vermont,Oral cavity and pharynx cancer,,50
2011,Vermont,Oral cavity and pharynx cancer,2.0,50
2011,Georgia,Oral cavity and pharynx cancer,4.1,13
2009,Montana,Oral cavity and pharynx cancer,2.1,30
2010,West Virginia,Oral cavity and pharynx cancer,,54
2014,Ohio,Oral cavity and pharynx cancer,2.6,39
2012,Hawaii,Oral cavity and pharynx cancer,,15
2012,Mississippi,Oral cavity and pharynx cancer,,28
2014,United States,Oral cavity and pharynx cancer,2.5,59
2015,Hawaii,Oral cavity and pharynx cancer,,15
2013,North Carolina,Oral cavity and pharynx cancer,1.3,37
2013,Iowa,Oral cavity and pharynx cancer,,19
2013,Montana,Oral cavity and pharynx cancer,,30
2012,West Virginia,Oral cavity and pharynx cancer,,54
2010,Maine,Oral cavity and pharynx cancer,2.7,23
2015,Michigan,Oral cavity and pharynx cancer,2.7,26
2010,Delaware,Oral cavity and pharynx cancer,4.5,10
2013,Utah,Oral cavity and pharynx cancer,,49
2009,California,Oral cavity and pharynx cancer,1.5,6
2015,New Hampshire,Oral cavity and pharynx cancer,,33
2012,Massachusetts,Oral cavity and pharynx cancer,,25
2014,Connecticut,Oral cavity and pharynx cancer,1.8,9
2009,West Virginia,Oral cavity and pharynx cancer,1.1,54
2014,Wisconsin,Oral cavity and pharynx cancer,,55
2012,Missouri,Oral cavity and pharynx cancer,,29
2010,North Dakota,Oral cavity and pharynx cancer,,38
2008,Utah,Oral cavity and pharynx cancer,1.5,49
2014,Florida,Oral cavity and pharynx cancer,2.7,12
2011,Nebraska,Oral cavity and pharynx cancer,,31
2015,Indiana,Oral cavity and pharynx cancer,4.1,18
2008,California,Oral cavity and pharynx cancer,3.7,6
2010,Louisiana,Oral cavity and pharynx cancer,3.2,22
2008,California,Oral cavity and pharynx cancer,2.8,6
2012,Nebraska,Oral cavity and pharynx cancer,1.4,31
2010,Illinois,Oral cavity and pharynx cancer,,17
2014,New Jersey,Oral cavity and pharynx cancer,2.0,34
2013,Nebraska,Oral cavity and pharynx cancer,,31
2015,Kansas,Oral cavity and pharynx cancer,,20
2015,Connecticut,Oral cavity and pharynx cancer,2.8,9
2015,Tennessee,Oral cavity and pharynx cancer,2.8,47
2015,Alabama,Oral cavity and pharynx cancer,,1
2015,District of Columbia,Oral cavity and pharynx cancer,,11
2009,Tennessee,Oral cavity and pharynx cancer,3.0,47
2014,Washington,Oral cavity and pharynx cancer,1.9,53
2009,North Dakota,Oral cavity and pharynx cancer,,38
2010,Illinois,Oral cavity and pharynx cancer,,17
2012,Wisconsin,Oral cavity and pharynx cancer,,55
2011,Wisconsin,Oral cavity and pharynx cancer,3.8,55
2012,Alaska,Oral cavity and pharynx cancer,3.5,2
2011,Oklahoma,Oral cavity and pharynx cancer,4.6,40
2015,Utah,Oral cavity and pharynx cancer,,49
2014,Montana,Oral cavity and pharynx cancer,,30
2014,Idaho,Oral cavity and pharynx cancer,1.4,16
2012,Idaho,Oral cavity and pharynx cancer,,16
2011,Utah,Oral cavity and pharynx cancer,1.8,49
2013,Pennsylvania,Oral cavity and pharynx cancer,1.9,42
2013,Maryland,Oral cavity and pharynx cancer,1.4,24
2009,Texas,Oral cavity and pharynx cancer,4.1,48
2010,Indiana,Oral cavity and pharynx cancer,,18
2014,Oregon,Oral cavity and pharynx cancer,4.2,41
2012,Wyoming,Oral cavity and pharynx cancer,,56
2013,Pennsylvania,Oral cavity and pharynx cancer,1.2,42
2012,Alaska,Oral cavity and pharynx cancer,6.0,2
2014,California,Oral cavity and pharynx cancer,2.1,6
2013,Maine,Oral cavity and pharynx cancer,4.2,23
2015,Wisconsin,Oral cavity and pharynx cancer,4.0,55
2015,Illinois,Oral cavity and pharynx cancer,,17
2010,Oregon,Oral cavity and pharynx cancer,,41
2012,Kansas,Oral cavity and pharynx cancer,1.2,20
2014,Minnesota,Oral cavity and pharynx cancer,2.7,27
2013,Ohio,Oral cavity and pharynx cancer,2.6,39
2009,North Dakota,Oral cavity and pharynx cancer,1.3,38
2015,Idaho,Oral cavity and pharynx cancer,,16
2011,Michigan,Oral cavity and pharynx cancer,3.2,26
2010,Maryland,Oral cavity and pharynx cancer,,24
2009,Rhode Island,Oral cavity and pharynx cancer,,44
2010,New York,Oral cavity and pharynx cancer,2.5,36
2010,New Jersey,Oral cavity and pharynx cancer,1.1,34
2011,Texas,Oral cavity and pharynx cancer,3.0,48
2009,Ohio,Oral cavity and pharynx cancer,2.5,39
2015,Kansas,Oral cavity and pharynx cancer,1.4,20
2013,Indiana,Oral cavity and pharynx cancer,,18
2011,Alabama,Oral cavity and pharynx cancer,3.0,1
2012,New York,Oral cavity and pharynx cancer,2.3,36
2014,Maryland,Oral cavity and pharynx cancer,,24
2008,Minnesota,Oral cavity and pharynx cancer,,27
2015,Alaska,Oral cavity and pharynx cancer,,2
2015,Montana,Oral cavity and pharynx cancer,,30
2008,Virginia,Oral cavity and pharynx cancer,0.7,51
2013,North Carolina,Oral cavity and pharynx cancer,,37
2012,Utah,Oral cavity and pharynx cancer,2.6,49
2013,New Hampshire,Oral cavity and pharynx cancer,,33
2014,Maine,Oral cavity and pharynx cancer,2.7,23
2011,Virginia,Oral cavity and pharynx cancer,2.4,51
2008,New Jersey,Oral cavity and pharynx cancer,2.6,34
2015,United States,Oral cavity and pharynx cancer,2.7,59
2008,Montana,Oral cavity and pharynx cancer,,30
2011,Louisiana,Oral cavity and pharynx cancer,,22
2011,Florida,Oral cavity and pharynx cancer,2.7,12
2012,California,Oral cavity and pharynx cancer,1.3,6
2009,Idaho,Oral cavity and pharynx cancer,3.6,16
2014,Oklahoma,Oral cavity and pharynx cancer,,40
2012,Iowa,Oral cavity and pharynx cancer,,19
2013,Illinois,Oral cavity and pharynx cancer,,17
2013,Alaska,Oral cavity and pharynx cancer,2.2,2
2011,Arizona,Oral cavity and pharynx cancer,,4
2008,District of Columbia,Oral cavity and pharynx cancer,4.3,11
2014,Alabama,Oral cavity and pharynx cancer,1.3,1
2008,Oklahoma,Oral cavity and pharynx cancer,2.7,40
2011,West Virginia,Oral cavity and pharynx cancer,1.4,54
2009,Hawaii,Oral cavity and pharynx cancer,,15
2015,Ohio,Oral cavity and pharynx cancer,2.8,39
2014,North Dakota,Oral cavity and pharynx cancer,,38
2012,Iowa,Oral cavity and pharynx cancer,2.5,19
2008,Missouri,Oral cavity and pharynx cancer,2.5,29
2009,Arizona,Oral cavity and pharynx cancer,1.0,4
2011,Mississippi,Oral cavity and pharynx cancer,,28
2013,Michigan,Oral cavity and pharynx cancer,2.7,26
2015,Wyoming,Oral cavity and pharynx cancer,,56
2012,Missouri,Oral cavity and pharynx cancer,,29
2009,New Hampshire,Oral cavity and pharynx cancer,,33
2013,Virginia,Oral cavity and pharynx cancer,3.8,51
2008,Arkansas,Oral cavity and pharynx cancer,3.0,5
2009,South Dakota,Oral cavity and pharynx cancer,,46
2012,New York,Oral cavity and pharynx cancer,2.2,36
2008,United States,Oral cavity and pharynx cancer,1.9,59
2015,Mississippi,Oral cavity and pharynx cancer,,28
2010,Pennsylvania,Oral cavity and pharynx cancer,3.4,42
2009,Wisconsin,Oral cavity and pharynx cancer,,55
2010,Texas,Oral cavity and pharynx cancer,3.0,48
2008,Missouri,Oral cavity and pharynx cancer,,29
2008,Wyoming,Oral cavity and pharynx cancer,,56
2012,Minnesota,Oral cavity and pharynx cancer,,27
2010,North Carolina,Oral cavity and pharynx cancer,,37
2011,Delaware,Oral cavity and pharynx cancer,2.9,10
2015,District of Columbia,Oral cavity and pharynx cancer,,11
2008,Arkansas,Oral cavity and pharynx cancer,,5
2015,Oklahoma,Oral cavity and pharynx cancer,4.6,40
2008,Alaska,Oral cavity and pharynx cancer,,2
2013,Arkansas,Oral cavity and pharynx cancer,5.0,5
2008,Michigan,Oral cavity and pharynx cancer,2.4,26
2011,Montana,Oral cavity and pharynx cancer,3.4,30
2009,Arkansas,Oral cavity and pharynx cancer,3.1,5
2010,Idaho,Oral cavity and pharynx cancer,,16
2011,Indiana,Oral cavity and pharynx cancer,2.4,18
2011,Tennessee,Oral cavity and pharynx cancer,,47
2010,Pennsylvania,Oral cavity and pharynx cancer,,42
2012,Nevada,Oral cavity and pharynx cancer,2.0,32
2011,Alabama,Oral cavity and pharynx cancer,,1
2010,New Mexico,Oral cavity and pharynx cancer,3.5,35
2011,Maine,Oral cavity and pharynx cancer,2.9,23
2012,Indiana,Oral cavity and pharynx cancer,1.3,18
2013,Wisconsin,Oral cavity and pharynx cancer,2.4,55
2010,Texas,Oral cavity and pharynx cancer,2.6,48
2009,Alaska,Oral cavity and pharynx cancer,,2
2015,Ohio,Oral cavity and pharynx cancer,2.2,39
2008,New York,Oral cavity and pharynx cancer,1.9,36
2010,California,Oral cavity and pharynx cancer,2.9,6
2013,Nevada,Oral cavity and pharynx cancer,4.1,32
2012,Illinois,Oral cavity and pharynx cancer,3.9,17
2015,California,Oral cavity and pharynx cancer,2.4,6
2015,Idaho,Oral cavity and pharynx cancer,,16
2011,New Mexico,Oral cavity and pharynx cancer,,35
2011,Pennsylvania,Oral cavity and pharynx cancer,,42
2010,Maine,Oral cavity and pharynx cancer,1.3,23
2013,Arizona,Oral cavity and pharynx cancer,1.3,4
2011,North Carolina,Oral cavity and pharynx cancer,2.3,37
2013,United States,Oral cavity and pharynx cancer,1.5,59
2015,Rhode Island,Oral cavity and pharynx cancer,,44
2008,Kentucky,Oral cavity and pharynx cancer,,21
2015,Colorado,Oral cavity and pharynx cancer,1.2,8
2014,Georgia,Oral cavity and pharynx cancer,2.7,13
2014,Iowa,Oral cavity and pharynx cancer,1.2,19
2008,Massachusetts,Oral cavity and pharynx cancer,,25
2012,Washington,Oral cavity and pharynx cancer,1.6,53
2013,Colorado,Oral cavity and pharynx cancer,2.9,8
2009,Iowa,Oral cavity and pharynx cancer,2.3,19
2008,Mississippi,Oral cavity and pharynx cancer,,28
2012,Ohio,Oral cavity and pharynx cancer,,39
2015,Virginia,Oral cavity and pharynx cancer,2.6,51
2009,Illinois,Oral cavity and pharynx cancer,1.3,17
2015,Texas,Oral cavity and pharynx cancer,3.0,48
2008,South Dakota,Oral cavity and pharynx cancer,,46
2013,Alaska,Oral cavity and pharynx cancer,,2
2015,Utah,Oral cavity and pharynx cancer,2.5,49
2010,Indiana,Oral cavity and pharynx cancer,3.7,18
2010,Tennessee,Oral cavity and pharynx cancer,3.1,47
2010,Alabama,Oral cavity and pharynx cancer,4.3,1
2010,Nebraska,Oral cavity and pharynx cancer,3.3,31
2013,Michigan,Oral cavity and pharynx cancer,1.2,26
2012,Nevada,Oral cavity and pharynx cancer,3.1,32
2012,Vermont,Oral cavity and pharynx cancer,,50
2013,Arizona,Oral cavity and pharynx cancer,1.1,4
2008,Tennessee,Oral cavity and pharynx cancer,1.5,47
2013,South Carolina,Oral cavity and pharynx cancer,,45
2015,Utah,Oral cavity and pharynx cancer,,49
2008,Kentucky,Oral cavity and pharynx cancer,1.5,21
2010,West Virginia,Oral cavity and pharynx cancer,3.0,54
2012,Hawaii,Oral cavity and pharynx cancer,2.4,15
2014,South Carolina,Oral cavity and pharynx cancer,3.0,45
2012,New Jersey,Oral cavity and pharynx cancer,,34
2008,Utah,Oral cavity and pharynx cancer,,49
2013,Montana,Oral cavity and pharynx cancer,2.3,30
2015,New Jersey,Oral cavity and pharynx cancer,2.0,34
2013,Hawaii,Oral cavity and pharynx cancer,,15
2015,Delaware,Oral cavity and pharynx cancer,4.0,10
2008,Alabama,Oral cavity and pharynx cancer,,1
2014,North Dakota,Oral cavity and pharynx cancer,2.7,38
2008,Nebraska,Oral cavity and pharynx cancer,,31
2014,Nebraska,Oral cavity and pharynx cancer,,31
2010,North Carolina,Oral cavity and pharynx cancer,,37
2014,Kentucky,Oral cavity and pharynx cancer,,21
2014,Nevada,Oral cavity and pharynx cancer,,32
2010,Nevada,Oral cavity and pharynx cancer,2.5,32
2015,Arkansas,Oral cavity and pharynx cancer,1.5,5
2012,Louisiana,Oral cavity and pharynx cancer,,22
2015,Oregon,Oral cavity and pharynx cancer,,41
2013,Idaho,Oral cavity and pharynx cancer,,16
2013,United States,Oral cavity and pharynx cancer,3.9,59
2011,Mississippi,Oral cavity and pharynx cancer,6.1,28
2011,Oregon,Oral cavity and pharynx cancer,,41
2014,Kansas,Oral cavity and pharynx cancer,,20
2009,Arkansas,Oral cavity and pharynx cancer,3.2,5
2010,California,Oral cavity and pharynx cancer,2.8,6
2009,Iowa,Oral cavity and pharynx cancer,3.5,19
2011,Colorado,Oral cavity and pharynx cancer,2.5,8
2009,Washington,Oral cavity and pharynx cancer,2.5,53
2014,Hawaii,Oral cavity and pharynx cancer,2.9,15
2008,Ohio,Oral cavity and pharynx cancer,,39
2011,Ohio,Oral cavity and pharynx cancer,,39
2010,Vermont,Oral cavity and pharynx cancer,4.3,50
2009,South Carolina,Oral cavity and pharynx cancer,3.0,45
2008,Wyoming,Oral cavity and pharynx cancer,2.8,56
2013,Wisconsin,Oral cavity and pharynx cancer,3.6,55
2015,Arkansas,Oral cavity and pharynx cancer,3.0,5
2008,New York,Oral cavity and pharynx cancer,2.1,36
2010,North Dakota,Oral cavity and pharynx cancer,2.9,38
2010,Washington,Oral cavity and pharynx cancer,3.0,53
2015,West Virginia,Oral cavity and pharynx cancer,,54
2013,New Jersey,Oral cavity and pharynx cancer,1.0,34
2012,New Jersey,Oral cavity and pharynx cancer,3.2,34
2008,Vermont,Oral cavity and pharynx cancer,2.5,50
2010,New York,Oral cavity and pharynx cancer,,36
2008,Georgia,Oral cavity and pharynx cancer,,13
2014,Vermont,Oral cavity and pharynx cancer,,50
2009,Louisiana,Oral cavity and pharynx cancer,,22
2011,Indiana,Oral cavity and pharynx cancer,,18
2013,Florida,Oral cavity and pharynx cancer,1.4,12
2014,Pennsylvania,Oral cavity and pharynx cancer,,42
2013,Maine,Oral cavity and pharynx cancer,,23
2008,Colorado,Oral cavity and pharynx cancer,1.3,8
2014,New Mexico,Oral cavity and pharynx cancer,1.2,35
2009,South Carolina,Oral cavity and pharynx cancer,,45
2008,Missouri,Oral cavity and pharynx cancer,,29
2011,New York,Oral cavity and pharynx cancer,1.2,36
2009,Illinois,Oral cavity and pharynx cancer,,17
2012,Alaska,Oral cavity and pharynx cancer,,2
2008,New Hampshire,Oral cavity and pharynx cancer,1.3,33
2013,California,Oral cavity and pharynx cancer,2.5,6
2012,South Dakota,Oral cavity and pharynx cancer,,46
2011,Texas,Oral cavity and pharynx cancer,2.9,48
2011,Iowa,Oral cavity and pharynx cancer,1.2,19
2012,Georgia,Oral cavity and pharynx cancer,2.7,13
2013,Vermont,Oral cavity and pharynx cancer,4.5,50
2011,Florida,Oral cavity and pharynx cancer,4.1,12
2011,Kansas,Oral cavity and pharynx cancer,,20
2013,Oregon,Oral cavity and pharynx cancer,,41
2011,Oklahoma,Oral cavity and pharynx cancer,1.3,40
2009,Iowa,Oral cavity and pharynx cancer,,19
2013,Virginia,Oral cavity and pharynx cancer,2.6,51
2012,Vermont,Oral cavity and pharynx cancer,3.2,50
2009,Nebraska,Oral cavity and pharynx cancer,2.3,31
2015,Utah,Oral cavity and pharynx cancer,1.7,49
2011,Illinois,Oral cavity and pharynx cancer,,17
2011,North Dakota,Oral cavity and pharynx cancer,,38
2008,New Jersey,Oral cavity and pharynx cancer,2.1,34
2010,Alaska,Oral cavity and pharynx cancer,,2
2010,New Hampshire,Oral cavity and pharynx cancer,,33
2012,West Virginia,Oral cavity and pharynx cancer,3.0,54
2008,North Carolina,Oral cavity and pharynx cancer,,37
2010,Michigan,Oral cavity and pharynx cancer,2.5,26
2008,Minnesota,Oral cavity and pharynx cancer,2.9,27
2010,Kansas,Oral cavity and pharynx cancer,,20
2013,Wyoming,Oral cavity and pharynx cancer,,56
2009,Alabama,Oral cavity and pharynx cancer,4.3,1
2013,Mississippi,Oral cavity and pharynx cancer,,28
2011,Missouri,Oral cavity and pharynx cancer,,29
2009,Oregon,Oral cavity and pharynx cancer,2.4,41
2012,Virginia,Oral cavity and pharynx cancer,3.7,51
2008,Massachusetts,Oral cavity and pharynx cancer,,25
2011,Utah,Oral cavity and pharynx cancer,,49
2011,West Virginia,Oral cavity and pharynx cancer,4.7,54
2015,Rhode Island,Oral cavity and pharynx cancer,1.9,44
2014,Missouri,Oral cavity and pharynx cancer,3.0,29
2014,Oregon,Oral cavity and pharynx cancer,,41
2014,Maryland,Oral cavity and pharynx cancer,2.5,24
2014,Wisconsin,Oral cavity and pharynx cancer,3.0,55
2015,Tennessee,Oral cavity and pharynx cancer,2.9,47
2012,Maryland,Oral cavity and pharynx cancer,3.7,24
2014,Washington,Oral cavity and pharynx cancer,4.2,53
2009,North Dakota,Oral cavity and pharynx cancer,,38
2009,Michigan,Oral cavity and pharynx cancer,2.5,26
2011,United States,Oral cavity and pharynx cancer,2.9,59
2010,Connecticut,Oral cavity and pharynx cancer,2.1,9
2011,North Dakota,Oral cavity and pharynx cancer,,38
2009,New York,Oral cavity and pharynx cancer,1.2,36
2011,Virginia,Oral cavity and pharynx cancer,,51
2011,District of Columbia,Oral cavity and pharynx cancer,,11
2011,North Carolina,Oral cavity and pharynx cancer,,37
2013,Oklahoma,Oral cavity and pharynx cancer,2.9,40
2010,Kentucky,Oral cavity and pharynx cancer,,21
2008,Virginia,Oral cavity and pharynx cancer,3.7,51
